text,author,date,stars,trail,source
"
 Excellent trails for all skill levels; plenty of swoopy greens, flowy blues and nice range of challenging blacks.  A great place to log miles. Ridgeline is great. When (?) a nice trail head/picnic area gets done, this will complete a great park. Thanks SWAMP! ",davidakemper@gmail.com,"May 24, 2016",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 This trail is my absolute favorite
Loved the flow it had! Great descents and multiple options to choose from ",chrystl1015,"May 23, 2016",0.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Beautiful trail system. Lots of nice trails connected by fire roads. The intermediates have a real nice flow to them. ",Keiron Gillespie,"May 16, 2016",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Wow!  Planned to go to Alafia as I love to when I visit, but got there early and Alafia doesn't open until 8, so thought I'd go for the double.  But then I got so engrossed in this trail system that I didn't want to leave!   I first tried the green trails in the south, they appear not to be ridden as much as they're really leaf covered and not as dialed as everything else.  But still fun, a good warm up if 2 miles in doesn't do the trick.  The east meadow is beautiful, pretty ordinary riding-wise.  The Woods trail started to make this really fun then some Swamp Thing and Garry's Loop is a great warm up to the reason you're here, Ridgeline!  I only did it once (I was still planning on Alafia) but that trail is dialed!  Lots of heart pumping from steep hills and lots of adrenaline from fun downhills and rollers but so well manicured that it never felt scary/sketchy.  I feel like if I would've done that trail a few more times I'd get more comfortable and be able to get some air and some faster speeds...next time for sure!  So it'd be a let down after Ridgeline right?  No way!  I went and did almost every other trail with South Abyss and middle spider berm multiple times.  They are just excellent, flowy XC trails, fast, grippy and fun!  Once I got a grasp on the system I was riding all over the place!  Saw a few gators and a couple other riders.  The other thing I like about this is the solitude.  It's a truly beautiful place, the meadow and then the ponds and it's not near a road so you don't really hear much background noise, definitely an oasis of mountain biking so close to such craziness!  Never made it to Alafia this trip.  For the true XC rider looking to get away and ride buff singletrack you can't get much better than this!   PS- If you have friends or your partner is a runner, the grass trails in the meadow would be awesome for trail running.  Also found a couple geocaches here too. ",Mark Larson,"February 28, 2016",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Freaking awesome! ",JMDELVAL11,"December 28, 2015",5.0,Ridgeline,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 The trail is well maintained and groomed. The conditions on 12/19 were dry and compact. Ridgeline was open and in outstanding shape. ",Yellow9er,"December 20, 2015",4.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Great fun was had!!!  Tried to ride it all but did some loops twice and backtracked a bit on Spider Berm and Inner Loch Ness. Really liked Pandemonium and Golf Cart too! ",SLOWGATOR00,"December 14, 2015",4.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Awesomely fun way to spend a day! ",Hobbes,"November 24, 2015",4.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 One of the best trails all round for anyone leading how to ride to more advanced riders, defiantly a better trail to use as a stepping stone to more advanced riding. ",Marcos Pluguez,"November 12, 2015",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Love ridding here. Great flow to the trails and nice scenery. It could use a little better signage but swamp does an amazing job maintaining this system. ",rickbr11,"October 5, 2015",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Loved it! So much good flow and plenty of acreage for stretching the legs. I definitely want to go back to explore more. ",Jeff Barber,"August 20, 2015",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Riding Ridgeline alone is worth 3 hour drive up from Miami! ",Lefty Frank,"August 11, 2015",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 I rode my first trails here and have been coming ever since. It's never too crowded which is great. There is a 2 mile ride from the parking lot to the trails so it seems long after a hard day of riding, but its a nice warm up and cool down. ",Brian Haynes,"August 4, 2015",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 trail was in perfect condition today!  not many riders so I had it almost to myself.  some of the openings at the intersections were not marked, that's the only thing keeping it from a 5.  great for a work out. ",Keith Moseley,"March 31, 2015",4.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Great place better then the more well known Alafia. ",Theejuicer,"March 21, 2015",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Plenty here for riders of all skill levels.  Northwest, Southwest, Northeast & Southeast are great beginner trails, though they had a treadmill feel to me.  The intermediate trails are a blast and Ridgeline & Abyss will interest the expert riders.  The 2 mile double track from the parking area seems longer and the sand seems deeper on the way back. ",Hap Proctor,"March 20, 2015",4.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 First time riding here. And in general. I had a blast. The ride in was a petty good warm up. I took the beginner trail to bypass the entire 2 miles of sugar sand, came out and hit Loch Ness, and upper Loch Ness. Other than that just enjoyed riding around. It's worth the 30 min drive! ",BamaDaddy12,"February 1, 2015",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Alafia was closed for a marathon so I hit balm. I don't get over to balm as much as I should. This trail system is a blast. Swamp has added some new trails and modified others for a great day of ridding. Ridgeline was open and I had forgotten what an ass kicker it is. I had a blast, thanks SWAMP!!!!! ",spike07,"January 27, 2015",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 new stuff at Boyette. ",harleyferg,"December 26, 2014",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Flows very well. Narrow singletrack on the harder trails then there is Ridgeline. It is packed down and just flows down and up. They even have the drops named. OMG and Max G are my favorites. Night riding here is a blast! ",ittakes2freestyle,"December 20, 2014",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Overrated prehaps. It is a roller coaster but keep in mind it's a Florida roller coaster. You have to Really keep you speed up to make it fun. There are a few sections that require a bit of peddling. I appears this trail has become much easier (in terms or steepness) over the years due to erosion of the steep grades. I'll give it a 3 for a ""it's fun for Florida"" rating. ",rpmarheine,"December 16, 2014",3.0,Ridgeline,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 I don't ride double black diamond trails but the Intermediate trails are a blast. After spending my first two seasons at Boyette I am a lot stronger and a far better rider. I go to Alafia and Turkey creek now and then but Boyette has it all. It feels like I am way out In the woods. As for the two mile ride in and out fighting the sugar sand. This Is where we can improve our cardio and power. On the ride in Its a good warm up to Loch Ness or Palmetto cable, once there I stop, eat a protein bar, drink and then with warm muscles I stretch. Now I am tuned for the ride.
On the way out that two mile sand/dirt road is my burn down. I ride out at 110% often so spent at the end I cannot lift my legs over the bike to dismount. Here Endeth The Lesson :P ",Osco,"October 18, 2014",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 I really enjoy this trail system.  The offshoots offer some challenge.  The 2 mile pedal to get to the main trails ensures you will get some miles on every ride wanted or not. ",Eric Mason,"August 12, 2014",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 You can rack up miles here. Ridgeline is the main attraction here and it is closed during the wet season. The other difficult trails are fun and have some elements of Ridgline but its not as consistant. The small entrance trail has lost lts of its tree cover due to controlled burns. ",Alex Schmitt,"July 2, 2014",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 This is the second time I have rode this park and wow this place is great! The first time was almost a year ago and I forgot how great it is. Ridge line was closed so missed out on that one. I would have to say south abyss is my favorite.  North abyss is also a great trail and big drop is fun. THANKS SWAMP! ",bw020752,"June 23, 2014",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Great ride! ",JeffWest,"June 21, 2014",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 This place absolutely rules! SWAMP club builds and maintains the trails here and they do a killer job. Every trail has great flow to it and it's tough to ride here and not have a massive smile on your face! Even the green trails are really fun to ride! They are completely flat, but they twist through the woods and they are fun to just rip through! That said, the blue and black rated trails are what this place is all about. Ridgeline is the standout, but everything here is worth riding often! Alafia gets all the notoriety, but I much prefer Balm Boyette! ",schwei,"June 6, 2014",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 wow, best park ive ridden so far. liked it better than santos and alafia. great flow in the trails, HUGE descents, and lots of miles of trail. one thing to be concerned about: on some of those big descents, there are sugar sand patches at the bottom and at those speeds they can redirect u in a hurry, so be aware of that. i give it a 4 star rating mainly because of two things: theres a 2 mile ride from the parking lot to the trails on a sugar sand rd and nowhere to get water anywhere in the park. going in u can see the 2-mile ride as a warm-up, although the sugar sand makes it more than that, but even so on the way out its a killer. considering theres no way to get more water once ur in the trails, u may run out and after an 18-20 mile ride, with no water left, the last thing u want to do is ride 2 miles worth of sugar sand back to your car. then again, if u can handle it, and if u have a MULE pak with a lot of water storage, the trails are DEFINITELY worth it. right next to alafia state park. no bathrooms or bike wash that i could see. ",eyejustamazeyall,"June 2, 2014",4.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 I came down from Ky to check out the gator trails.  I rode here in the morning then hit Alafia in the afternoon.  WOW, These trails are SWEET!!!.  I rode with a few peeps from the Florida Mudcutters and had a blast.  BB was well marked / maintained, trails dry/hardpack and sandy in places.  The flow was the best I have ever ridden.  The views were fantastic.  I did see a few gators... and I still have both my legs so far.  Most of the terrain was intermediate difficulty and A LOT of FUN.  I wanted to pack up ""Ridgeline"" and bring it back to Ky.  It felt like riding a roller coaster and I could have just stayed and rode that section over and over and over and over....and I did.  Good work SWAMP on the awesome trails.  I would advise anyone in the area to come check this trail out.  Its hard to compare to Alafia, both are different and equally cool.  Ride em both!  I did about 25 miles here then popped over to Alafia and did about 20 more...then I was pooped. ",cavedweller,"April 26, 2014",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Was on vacation in FL last week and I thought Boyette was awesome---did break a chain on the stupid rental after 10 miles of riding, climbing out of upper meadow... ",armyslowrdr,"March 31, 2014",4.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 I have been here three times and have had fun and explored new trails each time. The ride in and out gets a bit tedious but it isn't too bad. The trails have a very good flow and are not very technical. They make the best of the terrain as FL is so flat. ",rwmtb,"February 7, 2014",4.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 http://www.mtbepicrides.com/2013/07/balm-boyette.html Balm Boyette is not on the IMBA Epic list, but if Alafia River State Park is on the list so should Balm Boyette! SWAMP puts up an impressive network. Brian McInnis (from JRA (Just Riding Along) Cycles just outside of Boston in Medford, Ma) and I discussed connecting these two parks,. With the facilities and sweet trails at Alafia and the even better trails at Balm Boyette, Swamp, may just have the makings of a IMBA ride center. I actually like Balm Boyette, just a little bit better than Alafia. More over all mileage and Ridgeline does give Moonscape a run for it's money! There seems to be more advanced trails, Abyss, Pandemonium, and Garry's loop, at Balm Boyette. I admit it is a close call. Spider Berm  and a few others are better too, but North Creek and Roller Coaster at ARSP, have to be given there due. The Quadrants at Balm Boyette, do pretty much blow away any of the easy trails at ASRP though! Picture Endor with palm trees. ",Jetnjeff29r,"January 29, 2014",4.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 !Wow what a great place,really friendly helpful people there too!My wife clipped a tree,got hurt,but we made it out fine..we did lose a Toyota Smartkey on the main grassy trail near Lochness somewhere..if anyone happens to find it,email me   Eastender43@yahoo.com
Reward for return!..the big drops here are truly breath taking the first time thru Ridgeline!Thanks to all for your help!We will be back!We also rode ALAFIA and this place is better,and safer.We drove 21 hrs from Wisconsin...it was worth it! ",Eastender43@yahoo.com,"December 3, 2013",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Nice trail system with many different options for any skill level. 2 mile fire rode ride in from parking lot leading to multiple semi-short trails. Rode 95% of the blue and black trails and enjoyed most. Not as much flow as I like, but  once you know the trail (only been here this one time) I imagine you could put together a good link of trails together.  If ratings were out of 10, I'd give this system a 6.5-7... Ridgeline was great (8.5/10), but wish I'd ridden it before to know more of what was coming next. ",jeffrey_j,"October 20, 2013",3.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Trails here are great. I'm an intermediate rider and there are plenty of options here. Love the Upper and Lower Spider Berm. Golf Cart is also a favorite! Can get some speed here!  WOOT! ",ediblefrog,"October 13, 2013",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Ridgeline is awesome right now.  The runouts are smooth like butter and you can just fly up the other side of the hills.  SWAMP is working on some of the options to make them more sustainable currently.  Make the trip and experience one of the best trails in Florida! ",dcluley,"March 31, 2013",5.0,Ridgeline,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 WATERMAN75 Read your trail feedback on Boyette.. I acutally do volunteer my time out there. And I actually try and do trail updates on here often about our local trails to give everyone a heads up on the current conditions.. Not bashing the trails I love to ride, just giving current feedback. And since you ride our local trails, why don't you come out and join us sometime when we're doing to work on them. I'll be at Alafia next week adding onto Rollercoaster if you want to lend a hand. :wink: ",Peresite70,"March 21, 2013",0.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Went out and rode here this past Saturday and the trails were in excellent shape. The trail work that has been done on West Meadow was a huge inprovement. All the hog damage is gone and it's super fast and fun again. So if your thinking about making a trip out to Boyette, the trails are premo right now!! ",Peresite70,"March 21, 2013",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Road boyette today for the 3rd time and for the 3rd time we got lost getting out there. I love this place but it could use some trail head signs.  other riders we spoke to that didn't ride it frequently all said the same thing. All other signage is great. Once again swamp thank you ",,"March 16, 2013",4.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Pretty cool place.  Great place for kids and beginners.  My kids loved it. ",Spartan,"February 6, 2013",3.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Absolutely love Boyette. But there's a few trails that are getting ate up from the wild hogs out there. Some of the trails are in dire need of some maintence because of what the hogs have done, but at least Rigeline was in excellent shape. ",Peresite70,"January 31, 2013",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Rigeline is in great shape!! Come out and ride it!! ",Peresite70,"January 31, 2013",5.0,Ridgeline,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 My son and I have been here probably 4 times in the past few months.  We just returned from a vacation in Asheville, NC where we rode Bent Creek and it was some fun downhill riding.  As for Balm Boyett..  This place rocks!!  Parking is free, restroom available, great signage, good warmup ride into park, beautiful scenery and more.  All types of trails for every rider.  Get a map and enjoy!!  SWAMP. Thank You!! ",NOBLES,"January 4, 2013",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Great trails! SWAMP has really done a great job maintaining.  Tried for the first time yesterday and had to go back today for an encore.  This park really does have something for everyone. I am just getting started so I haven't tried the really advanced trails yet but will definitely do so soon. ",ebjr,"December 13, 2012",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Loved this trail.  Thank you Jerry for showing me the way....  It is a great ride! ",,"November 3, 2012",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
  Rode Ridgeline yesterday for the 1st time since they reopened it due to it being closed for the past few months from all the rain that we have been getting. SWAMP did a great job in cleaning this trail up for the most part. Could of used some power triming in a few overgrown spots, but for the most part the trail is in excellent shape!! Can't wait to ride it again today after work!!   If your in the area this trail is definitely worth checking out!! ",Peresite70,"October 24, 2012",5.0,Ridgeline,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Beginning trail is all sand, but after that a fantastic day in the saddle.  Great singletrack with some interesting technical areas, but overall doable for an intermediate to advanced rider. ",ncstatewlfpk,"October 4, 2012",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Rode Boyette tonight and most of the trails were in great shape. They were all dry n packed down. Way faster then last week when I was riding there. ",Peresite70,"September 26, 2012",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 First time riding Balm today.  Not enough time to do it all.  My wife doesn't like the 2 mile ride just to get to the trails.  That and coupled with the lack of signage, made for a long day of stopping to check the map and missing some of the trails completely (Too hot a day for that). Overall, we enjoyed the trails.  I'd be more than happy to assist in placing signs out there.  Better signage would definitely make it a better day of riding.* Review edited 9/22/2012 ",Pake,"September 23, 2012",4.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 My first time at BBSP had a great time, trails ride smooth and you can really get some speed on them. wasn't able to ride ridgeline but N. and S. abyss are deff on my favorites list. Can't wait to go again. P.S. I didn't see any info on it but the parking is free, but try and get there early so you don't have to park on the road ",Trek820beast,"September 4, 2012",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
  Rode this trail system for the first time yesterday and for the most part everything was in good shape. Ridgeline was closed, but we ended up riding it anyhow. Why it was closed is beyond me since there weren't any areas that were washed out at all. It wasn't smooth as glass like I'm sure some people might like it but it was completely rideable. Made it thru the whole trail with no problems at all and I had a blast on it!!! If you've never been to Boyette I suggest that you do so!! ",Peresite70,"July 27, 2012",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 These trails are awesome! Worth the drive from anywhere in the state. These trails have a great flow to them. I have seen people compare them to Alafia and other surrounding parks but with a flow like this I would say it is closer to the Forks Area Trail System (FATS) in South Carolina. Just an amazing ride. Ridgeline Was more than I expected. Hats off to The Swamp for a exceptional job maintaining these trails. If you are new to the trails BRING A MAP! It is pretty easy to find your way out but getting back can be difficult. Over all some of the best trails I have ridden. There is something for everyone and I promise you will not be disappointed! ",PSIME84,"July 22, 2012",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 KICK ASS. One of the best in the Tampa/West Florida area. Fun trails for all types of riders, the new Sidewinder sections are a blast, and Ridgeline is a roller coaster ride you can take for free. Absolutely awesome layout and all day fun. Wish they would pave the lot, add more parking, and put out some other amenities (bike wash, etc). Then this place would be 6 stars. Love it here. ",rich67,"June 9, 2012",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 It can be a bit hard to find your way back out!!! However one of the best trails i have been to. Ridgeline is a most do... ",,"May 23, 2012",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Nice park mostly novice,  beside a few trails very confusing even with a map no exit or direction signs at all. ",superautofl,"May 1, 2012",3.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Balm is a great place to ride. Other people are saying its hard to navigate, and I agree. It took me and my riding partner a good 5-6 times of riding that place to even get a feel for the layout. When you do find your way, the black diamond trails are intense and so much fun. The lower challenge trails are also very fun and there is nothing too difficult as long as you get a little practice in first! I love this place.  ",taylororamac,"March 19, 2012",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 We rode most of the intermediate courses for over 20miles and wow what a ride. Sunny, windy and some rain showers. Perfect weather and one of my favorite parks. Great riding. ",,"March 18, 2012",4.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 I just rode this trail for the first time today. Me and a buddy ended up riding with a guy who had ridden here before. We rode this trail twice and had an absolute blast, despite the fact that I beefed it pretty good one time--luckily my elbow pads protected me pretty good or else I would have been way more scratched up. I would definitely recommend some knee and elbow pads for this trail if you are trying to rip down it (which I was). Ridgeline was definitely all it was cracked up to be. Overall, I would say ridgeline is a definite 5 star--I would give it 6 if I could. Going down the mounds is awesome, and probably the closest you are going to get to a downhill in FL. All of the side options are very steep, especially for FL, and they are a blast! I hit about 27.5 mph on The Plunge. On a side note: for some reason Ridgeline is not listed on either of the trail maps at the trailhead, but it is not currently closed. * Review edited 3/2/2012 ",afullsodacan,"March 3, 2012",5.0,Ridgeline,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Very good trail system. I just rode here today.  Me and a buddy ended up riding with a guy who had ridden here before. We had a ton of fun. Ridgeline was definitely all it was cracked up to be. Ridgeline is now currently my favorite trail in Florida. The other black diamonds and intermediates were also pretty fun, but not the main attraction. The main reason that I gave it 4 stars instead of 5 is that there is a pretty good amount of ride-in along a sandy road to get to the singletrack. Ridgeline is a definite 5 stars; going down the mounds is awesome.  On a side note: for some reason Ridgeline is not listed on either of the trail maps at the trailhead, but it is not currently closed.* Review edited 4/11/2012 ",afullsodacan,"March 2, 2012",4.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Second review: I have now ridden the new sections of trail on Ridgeline a couple of times and there are no true words to describe how much fun this is! It is technical with steep but sloping drops easily ridden with an XC bike. Would not say it is 'better' than Santos and Alafia...as they are all different and great Trifecta of FL trails. A must ride if you have not done them before.  ",Michael Paul,"February 22, 2012",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
